Survived,Sex,Age
0,male,22
1,female,38
1,female,26
1,female,35
0,male,35
0,male,
0,male,54
0,male,2
1,female,27
1,female,14
1,female,4
1,female,58
0,male,20
0,male,39
0,female,14
1,female,55
0,male,2
1,male,
0,female,31
1,female,
0,male,35
1,male,34
1,female,15
1,male,28
0,female,8
1,female,38
0,male,
0,male,19
1,female,
0,male,
0,male,40
1,female,
1,female,
0,male,66
0,male,28
0,male,42
1,male,
0,male,21
0,female,18
1,female,14
0,female,40
0,female,27
0,male,
1,female,3
1,female,19
0,male,
0,male,
1,female,
0,male,
0,female,18
0,male,7
0,male,21
1,female,49
1,female,29
0,male,65
1,male,
1,female,21
0,male,28.5
1,female,5
0,male,11
0,male,22
1,female,38
0,male,45
0,male,4
0,male,
1,male,
1,female,29
0,male,19
1,female,17
0,male,26
0,male,32
0,female,16
0,male,21
0,male,26
1,male,32
0,male,25
0,male,
0,male,
1,male,0.83
1,female,30
0,male,22
1,male,29
1,female,
0,male,28
1,female,17
1,female,33
0,male,16
0,male,
1,female,23
0,male,24
0,male,29
0,male,20
0,male,46
0,male,26
0,male,59
0,male,
0,male,71
1,male,23
1,female,34
0,male,34
0,female,28
0,male,
0,male,21
0,male,33
0,male,37
0,male,28
1,female,21
1,male,
0,male,38
1,female,
0,male,47
0,female,14.5
0,male,22
0,female,20
0,female,17
0,male,21
0,male,70.5
0,male,29
0,male,24
0,female,2
0,male,21
0,male,
0,male,32.5
1,female,32.5
0,male,54
1,male,12
0,male,
1,male,24
1,female,
0,male,45
0,male,33
0,male,20
0,female,47
1,female,29
0,male,25
0,male,23
1,female,19
0,male,37
0,male,16
0,male,24
0,female,
1,female,22
1,female,24
0,male,19
0,male,18
0,male,19
1,male,27
0,female,9
0,male,36.5
0,male,42
0,male,51
1,female,22
0,male,55.5
0,male,40.5
0,male,
0,male,51
1,female,16
0,male,30
0,male,
0,male,
0,male,44
1,female,40
0,male,26
0,male,17
0,male,1
1,male,9
1,female,
0,female,45
0,male,
0,male,28
0,male,61
0,male,4
1,female,1
0,male,21
0,male,56
0,male,18
0,male,
0,female,50
0,male,30
0,male,36
0,female,
0,male,
0,male,9
1,male,1
1,female,4
0,male,
1,female,
1,male,45
0,male,40
0,male,36
1,female,32
0,male,19
1,female,19
1,male,3
1,female,44
1,female,58
0,male,
0,male,42
1,female,
0,female,24
0,male,28
0,male,
0,male,34
0,male,45.5
1,male,18
0,female,2
0,male,32
1,male,26
1,female,16
1,male,40
0,male,24
1,female,35
0,male,22
0,male,30
0,male,
1,female,31
1,female,27
0,male,42
1,female,32
0,male,30
1,male,16
0,male,27
0,male,51
0,male,
1,male,38
0,male,22
1,male,19
0,male,20.5
0,male,18
0,female,
1,female,35
0,male,29
0,male,59
1,female,5
0,male,24
0,female,
0,male,44
1,female,8
0,male,19
0,male,33
0,female,
1,female,
0,male,29
0,male,22
0,male,30
0,male,44
0,female,25
1,female,24
1,male,37
0,male,54
0,male,
0,female,29
0,male,62
0,male,30
0,female,41
1,female,29
1,female,
1,female,30
1,female,35
1,female,50
0,male,
1,male,3
0,male,52
0,male,40
0,female,
0,male,36
0,male,16
1,male,25
1,female,58
1,female,35
0,male,
1,male,25
1,female,41
0,male,37
1,female,
1,female,63
0,female,45
0,male,
0,male,7
1,female,35
0,male,65
0,male,28
0,male,16
1,male,19
0,male,
0,male,33
1,male,30
0,male,22
1,male,42
1,female,22
1,female,26
1,female,19
0,male,36
0,female,24
0,male,24
0,male,
0,male,23.5
0,female,2
1,male,
1,female,50
1,female,
1,male,
0,male,19
1,female,
0,male,
1,male,0.92
1,female,
1,female,17
0,male,30
1,female,30
1,female,24
1,female,18
0,female,26
0,male,28
0,male,43
1,female,26
1,female,24
0,male,54
