Date,Close/Last,Volume,Open,High,Low
9/17/2024,$216.79 ,45519340,$215.75 ,$216.90 ,$214.50 
9/16/2024,$216.32 ,59357430,$216.54 ,$217.22 ,$213.92 
9/13/2024,$222.50 ,36766620,$223.58 ,$224.04 ,$221.91 
9/12/2024,$222.77 ,37498230,$222.50 ,$223.55 ,$219.82 
9/11/2024,$222.66 ,44587070,$221.46 ,$223.09 ,$217.89 
9/10/2024,$220.11 ,51591030,$218.92 ,$221.48 ,$216.73 
9/9/2024,$220.91 ,67179970,$220.82 ,$221.27 ,$216.71 
9/6/2024,$220.82 ,48423010,$223.95 ,$225.24 ,$219.77 
9/5/2024,$222.38 ,36615400,$221.63 ,$225.48 ,$221.52 
9/4/2024,$220.85 ,43840200,$221.66 ,$221.78 ,$217.48 
9/3/2024,$222.77 ,50190570,$228.55 ,$229.00 ,$221.17 
8/30/2024,$229.00 ,52990770,$230.19 ,$230.40 ,$227.48 
8/29/2024,$229.79 ,51906300,$230.10 ,$232.92 ,$228.88 
8/28/2024,$226.49 ,38052170,$227.92 ,$229.86 ,$225.68 
8/27/2024,$228.03 ,35934560,$226.00 ,$228.85 ,$224.89 
8/26/2024,$227.18 ,30602210,$226.76 ,$227.28 ,$223.89 
8/23/2024,$226.84 ,38677250,$225.66 ,$228.22 ,$224.33 
8/22/2024,$224.53 ,43695320,$227.79 ,$228.34 ,$223.90 
8/21/2024,$226.40 ,34765480,$226.52 ,$227.98 ,$225.05 
8/20/2024,$226.51 ,30299030,$225.77 ,$227.17 ,$225.45 
8/19/2024,$225.89 ,40687810,$225.72 ,$225.99 ,$223.04 
